"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of survivors","Number of Female","Number of Male","Number of Children","Cause of death","Location Description","Information Source","Location","Information Reliability","Migrant Route","URL","UNSD Geographical Grouping"
"30930","Mediterranean","April 23, 2017","2017","Apr","1","","1","","1","","","Unknown","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","http://bit.ly/2omFNoT","Uncategorized"
"30928","Europe","April 21, 2017","2017","Apr","1","","1","","","1","","Sickness and lack of access to medicines","Hospital in Bari, Italy","Corriere del messogiorno","41.111268000000, 16.775534600000","Partially verified","","http://bit.ly/2qbPwme","Southern Europe"
"30929","US-Mexico Border","April 21, 2017","2017","Apr","1","","1","","","1","","Unknown (skeletal remains)","Pima County (see spreadsheet for exact location)","Pima County Office of the Medical Examiner","31.875343400000, -112.547046600000","Verified","","","Northern America"
"30925","US-Mexico Border","April 20, 2017","2017","Apr","1","","1","","","1","","Drowning","Rio Bravo, Nueva Ciudad Guerrero, Tamaulipas, Mexico","La Prensa","26.563414300000, -99.237854400000","Partially verified","","http://bit.ly/2q6dMTp, http://bit.ly/2q9qIb4","Central America"
"30926","US-Mexico Border","April 20, 2017","2017","Apr","1","","1","","","1","","Drowning","Rio Bravo, Matamoros, Tamaulipas, Mexico","Hoy Tamaulipas","25.848764900000, -97.561323600000","Partially verified","","http://bit.ly/2pWh9M8","Central America"
"30927","Middle East","April 20, 2017","2017","Apr","3","","3","15","","","","Vehicle Accident","Kerman Province, Iran","The Voice of Refugees","29.670600700000, 56.686023800000","Partially verified","","http://bit.ly/2pq1aJE, https://www.facebook.com/thevoiceofRefugees/posts/1319388981447626","Western Asia"
"30924","US-Mexico Border","April 19, 2017","2017","Apr","1","","1","","","1","","Drowning","Rio Bravo, Puente Internacional III del Comercio Mundial, Nuevo Laredo, Tamaulipas, Mexico","Lider Informativo","27.456537800000, -99.569848700000","Partially verified","","http://bit.ly/2opth88","Northern America"
"30917","Mediterranean","April 18, 2017","2017","Apr","","30","30","","","","","Drowning","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","","Uncategorized"
"30918","Mediterranean","April 18, 2017","2017","Apr","4","","4","","","","","Crushed","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","","Uncategorized"
"30919","Mediterranean","April 18, 2017","2017","Apr","","10","10","","","","","Drowning","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","","Uncategorized"
"30920","Mediterranean","April 18, 2017","2017","Apr","","7","7","","","","","Drowning","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","","Uncategorized"
"30921","Mediterranean","April 18, 2017","2017","Apr","","17","17","","","","","Drowning","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","","Uncategorized"
"30922","Mediterranean","April 18, 2017","2017","Apr","28","","28","","4","","","Dehydration, Starvation","Off the coast of Sabratha, Libya","Reuters","32.791284000000, 12.415264900000","Partially verified","Central Mediterranean","http://reut.rs/2pfuCTr","Uncategorized"
"30923","Mediterranean","April 18, 2017","2017","Apr","","35","35","","","","","Drowning","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","","Uncategorized"
"30916","US-Mexico Border","April 17, 2017","2017","Apr","1","","1","","","1","","Unknown (skeletal remains)","Pima County (see spreadsheet for exact location)","Pima County Office of the Medical Examiner","31.875343400000, -112.547046600000","Verified","","","Northern America"
"43936","US-Mexico Border","April 17, 2017","2017","Apr","1","","1","","","","","Unknown (skeletal remains)","West Ranch, Brooks County, Texas, USA","South Texas Human Rights Center","27.092771442727, -98.092803955078","Verified","","","Northern America"
"30913","Mediterranean","April 16, 2017","2017","Apr","13","20","33","","2","4","1","Drowning","Unspecified location between North Africa and Italy","IOM Italy, BBC","35.099139200000, 13.048850200000","Verified","Central Mediterranean","http://bbc.in/2ohlVUv","Uncategorized"
"30914","Mediterranean","April 16, 2017","2017","Apr","2","","2","","","","","Drowning","Unspecified location between North Africa and Italy","UNHCR, MSF","34.422826311333, 13.154201256250","Verified","Central Mediterranean","","Uncategorized"
"30915","Mediterranean","April 16, 2017","2017","Apr","7","","7","","","","","Drowning","Unspecified location between North Africa and Italy","IOM Italy, Augusta Prefecture","36.347854800000, 14.445509300000","Verified","Central Mediterranean","","Uncategorized"
